Actions #,Coût par action (en euros),Bénéfice (après 2 ans)
Action-1494,499,2
Action-1495,262,9
Action-1496,211,43
Action-1497,66,13
Action-1498,317,26
Action-1499,457,46
Action-1500,17,14
Action-1501,216,30
Action-1502,462,32
Action-1503,181,45
Action-1504,100,4
Action-1505,43,10
Action-1506,114,46
Action-1507,366,14
Action-1508,152,10
Action-1509,403,42
Action-1510,486,35
Action-1511,388,2
Action-1512,454,27
Action-1513,335,21
Action-1514,4,35
Action-1515,231,43
Action-1516,458,3
Action-1517,317,3
Action-1518,487,16
Action-1519,254,10
Action-1520,153,36
Action-1521,239,20
Action-1522,418,45
Action-1523,295,46
Action-1524,159,17
Action-1525,261,28
Action-1526,163,43
Action-1527,433,34
Action-1528,54,4
Action-1529,69,49
Action-1530,273,16
Action-1531,193,43
Action-1532,317,49
Action-1533,204,14
Action-1534,372,8
Action-1535,336,1
Action-1536,235,49
Action-1537,220,5
Action-1538,197,20
Action-1539,122,17
Action-1540,170,41
Action-1541,0,29
Action-1542,216,41
Action-1543,214,18
Action-1544,422,12
Action-1545,8,19
Action-1546,169,23
Action-1547,181,43
Action-1548,106,26
Action-1549,378,40
Action-1550,120,19
Action-1551,366,49
Action-1552,332,32
Action-1553,328,27
Action-1554,339,8
Action-1555,401,8
Action-1556,314,41
Action-1557,291,48
Action-1558,71,46
Action-1559,230,7
Action-1560,35,38
Action-1561,233,36
Action-1562,149,34
Action-1563,230,43
Action-1564,60,13
Action-1565,307,27
Action-1566,490,13
Action-1567,209,9
Action-1568,249,44
Action-1569,217,37
Action-1570,45,43
Action-1571,95,7
Action-1572,139,26
Action-1573,339,28
Action-1574,294,35
Action-1575,424,40
Action-1576,169,33
Action-1577,87,13
Action-1578,201,1
Action-1579,486,7
Action-1580,165,18
Action-1581,445,0
Action-1582,376,19
Action-1583,341,31
Action-1584,70,20
Action-1585,201,4
Action-1586,457,1
Action-1587,375,34
Action-1588,385,11
Action-1589,133,27
Action-1590,199,6
Action-1591,194,32
Action-1592,312,6
Action-1593,149,12
Action-1594,416,13
Action-1595,62,30
Action-1596,222,5
Action-1597,266,46
Action-1598,429,37
Action-1599,88,34
Action-1600,35,2
Action-1601,207,24
Action-1602,267,37
Action-1603,499,12
Action-1604,443,2
Action-1605,40,28
Action-1606,356,16
Action-1607,97,40
Action-1608,245,31
Action-1609,135,42
Action-1610,62,35
Action-1611,33,27
Action-1612,381,26
Action-1613,118,2
Action-1614,192,14
Action-1615,45,45
Action-1616,91,37
Action-1617,104,46
Action-1618,173,19
Action-1619,192,32
Action-1620,391,36
Action-1621,262,9
Action-1622,291,47
Action-1623,193,45
Action-1624,437,33
Action-1625,60,13
Action-1626,71,37
Action-1627,109,16
Action-1628,189,46
Action-1629,493,38
Action-1630,326,40
Action-1631,492,30
Action-1632,422,13
Action-1633,471,49
Action-1634,99,36
Action-1635,260,7
Action-1636,401,27
Action-1637,369,42
Action-1638,185,3
Action-1639,150,30
Action-1640,387,14
Action-1641,197,46
Action-1642,441,10
Action-1643,309,13
Action-1644,361,37
Action-1645,108,36
Action-1646,462,4
Action-1647,109,20
Action-1648,134,30
Action-1649,489,23
Action-1650,190,20
Action-1651,178,1
Action-1652,457,5
Action-1653,201,20
Action-1654,111,30
Action-1655,262,33
Action-1656,196,39
Action-1657,473,44
Action-1658,431,48
Action-1659,187,42
Action-1660,205,38
Action-1661,377,32
Action-1662,488,6
Action-1663,3,39
Action-1664,475,47
Action-1665,176,18
Action-1666,280,28
Action-1667,114,21
Action-1668,65,13
Action-1669,91,31
Action-1670,482,17
Action-1671,387,39
Action-1672,85,6
Action-1673,333,25
Action-1674,309,38
Action-1675,251,49
Action-1676,436,35
Action-1677,483,30
Action-1678,157,13
Action-1679,493,20
Action-1680,290,7
Action-1681,185,25
Action-1682,133,21
Action-1683,359,39
Action-1684,316,42
Action-1685,79,20
Action-1686,180,3
Action-1687,70,31
Action-1688,339,45
Action-1689,270,40
Action-1690,347,45
Action-1691,420,38
Action-1692,445,28
Action-1693,449,36
Action-1694,12,47
Action-1695,106,33
Action-1696,257,13
Action-1697,278,1
Action-1698,211,6
Action-1699,309,2
Action-1700,162,49
Action-1701,275,25
Action-1702,88,6
Action-1703,331,20
Action-1704,456,48
Action-1705,66,42
Action-1706,294,17
Action-1707,192,33
Action-1708,101,3
Action-1709,488,4
Action-1710,99,31
Action-1711,363,30
Action-1712,218,18
Action-1713,252,46
Action-1714,461,38
Action-1715,22,40
Action-1716,16,24
Action-1717,455,10
Action-1718,23,49
Action-1719,271,9
Action-1720,356,3
Action-1721,129,19
Action-1722,220,48
Action-1723,489,39
Action-1724,491,23
Action-1725,445,6
Action-1726,183,47
Action-1727,170,10
Action-1728,399,40
Action-1729,444,47
Action-1730,287,37
Action-1731,10,11
Action-1732,275,37
Action-1733,489,23
Action-1734,466,22
Action-1735,448,48
Action-1736,366,30
Action-1737,60,17
Action-1738,268,26
Action-1739,69,42
Action-1740,218,28
Action-1741,52,10
Action-1742,469,6
Action-1743,120,14
Action-1744,171,21
Action-1745,114,25
Action-1746,39,14
Action-1747,46,48
Action-1748,344,21
Action-1749,313,38
Action-1750,339,17
Action-1751,66,38
Action-1752,449,13
Action-1753,446,34
Action-1754,231,42
Action-1755,100,27
Action-1756,418,24
Action-1757,76,22
Action-1758,0,27
Action-1759,245,24
Action-1760,375,11
Action-1761,208,23
Action-1762,375,18
Action-1763,198,9
Action-1764,236,17
Action-1765,288,44
Action-1766,268,46
Action-1767,428,17
Action-1768,256,13
Action-1769,253,32
Action-1770,193,28
Action-1771,366,45
Action-1772,399,20
Action-1773,439,36
Action-1774,319,41
Action-1775,359,12
Action-1776,383,22
Action-1777,367,11
Action-1778,258,4
Action-1779,10,48
Action-1780,52,15
Action-1781,403,16
Action-1782,223,2
Action-1783,159,37
Action-1784,153,34
Action-1785,380,3
Action-1786,91,47
Action-1787,143,22
Action-1788,492,30
Action-1789,283,43
Action-1790,69,41
Action-1791,102,22
Action-1792,339,14
Action-1793,125,38
Action-1794,165,42
Action-1795,233,24
Action-1796,186,44
Action-1797,289,6
Action-1798,146,49
Action-1799,291,23
Action-1800,177,35
Action-1801,297,10
Action-1802,176,30
Action-1803,168,43
Action-1804,391,32
Action-1805,356,47
Action-1806,315,30
Action-1807,20,37
Action-1808,457,26
Action-1809,164,13
Action-1810,131,24
Action-1811,191,24
Action-1812,218,44
Action-1813,311,1
Action-1814,213,44
Action-1815,283,3
Action-1816,134,34
Action-1817,440,14
Action-1818,338,13
Action-1819,93,34
Action-1820,102,49
Action-1821,482,17
Action-1822,365,37
Action-1823,122,48
Action-1824,95,26
Action-1825,286,27
Action-1826,211,49
Action-1827,332,4
Action-1828,34,36
Action-1829,165,10
Action-1830,32,38
Action-1831,14,4
Action-1832,190,45
Action-1833,79,15
Action-1834,303,31
Action-1835,404,25
Action-1836,182,28
Action-1837,220,21
Action-1838,467,9
Action-1839,432,32
Action-1840,318,18
Action-1841,86,32
Action-1842,104,30
Action-1843,27,19
Action-1844,118,17
Action-1845,387,17
Action-1846,25,32
Action-1847,404,5
Action-1848,81,25
Action-1849,85,38
Action-1850,71,34
Action-1851,140,33
Action-1852,42,32
Action-1853,337,9
Action-1854,338,49
Action-1855,198,26
Action-1856,353,22
Action-1857,429,29
Action-1858,14,20
Action-1859,377,14
Action-1860,396,15
Action-1861,281,14
Action-1862,471,12
Action-1863,285,35
Action-1864,475,32
Action-1865,199,31
Action-1866,197,22
Action-1867,209,21
Action-1868,152,18
Action-1869,169,3
Action-1870,260,18
Action-1871,329,29
Action-1872,162,42
Action-1873,275,40
Action-1874,200,41
Action-1875,232,33
Action-1876,133,47
Action-1877,148,34
Action-1878,307,11
Action-1879,436,19
Action-1880,350,17
Action-1881,166,41
Action-1882,0,35
Action-1883,141,21
Action-1884,116,7
Action-1885,486,23
Action-1886,379,18
Action-1887,161,16
Action-1888,197,25
Action-1889,178,46
Action-1890,356,19
Action-1891,329,35
Action-1892,424,33
Action-1893,27,1
Action-1894,350,40
Action-1895,141,5
Action-1896,198,11
Action-1897,25,13
Action-1898,9,46
Action-1899,251,14
Action-1900,394,38
Action-1901,155,23
Action-1902,406,34
Action-1903,348,24
Action-1904,104,22
Action-1905,453,48
Action-1906,289,21
Action-1907,461,12
Action-1908,50,10
Action-1909,42,22
Action-1910,28,37
Action-1911,15,29
Action-1912,474,42
Action-1913,374,48
Action-1914,122,0
Action-1915,285,15
Action-1916,473,43
Action-1917,105,36
Action-1918,375,18
Action-1919,56,5
Action-1920,218,19
Action-1921,37,3
Action-1922,124,12
Action-1923,449,38
Action-1924,79,34
Action-1925,366,17
Action-1926,407,1
Action-1927,199,8
Action-1928,78,18
Action-1929,154,49
Action-1930,403,47
Action-1931,443,12
Action-1932,170,5
Action-1933,342,2
Action-1934,176,10
Action-1935,227,2
Action-1936,462,38
Action-1937,54,23
Action-1938,286,18
Action-1939,461,17
Action-1940,275,5
Action-1941,60,42
Action-1942,104,45
Action-1943,250,10
Action-1944,303,41
Action-1945,103,22
Action-1946,199,12
Action-1947,3,14
Action-1948,434,24
Action-1949,172,1
Action-1950,324,46
Action-1951,314,37
Action-1952,109,11
Action-1953,49,10
Action-1954,239,42
Action-1955,233,2
Action-1956,82,21
Action-1957,401,7
Action-1958,211,22
Action-1959,278,5
Action-1960,279,18
Action-1961,103,12
Action-1962,367,19
Action-1963,293,8
Action-1964,193,24
Action-1965,212,6
Action-1966,473,32
Action-1967,369,48
Action-1968,412,40
Action-1969,469,21
Action-1970,451,19
Action-1971,17,28
Action-1972,165,39
Action-1973,332,5
Action-1974,125,16
Action-1975,479,37
Action-1976,348,26
Action-1977,492,23
Action-1978,267,27
Action-1979,88,15
Action-1980,158,3
Action-1981,248,39
Action-1982,48,31
Action-1983,328,6
Action-1984,411,46
Action-1985,244,35
Action-1986,380,28
Action-1987,391,45
Action-1988,212,32
Action-1989,311,20
Action-1990,309,27
Action-1991,196,21
Action-1992,133,4
Action-1993,222,47
Action-1994,25,16
Action-1995,215,19
Action-1996,426,0
Action-1997,423,43
Action-1998,70,21
Action-1999,461,43
Action-2000,323,23
Action-2001,123,7
Action-2002,391,10
Action-2003,239,31
Action-2004,435,0
Action-2005,5,44
Action-2006,471,17
Action-2007,31,33
Action-2008,328,35
Action-2009,415,21
Action-2010,147,14
Action-2011,102,11
Action-2012,285,32
Action-2013,468,26
Action-2014,106,10
Action-2015,127,8
Action-2016,222,10
Action-2017,262,44
Action-2018,151,48
Action-2019,471,23
Action-2020,130,49
Action-2021,174,36
Action-2022,471,13
Action-2023,262,17
Action-2024,220,1
Action-2025,238,29
Action-2026,230,36
Action-2027,376,33
Action-2028,49,45
Action-2029,333,21
Action-2030,409,16
Action-2031,291,44
Action-2032,152,15
Action-2033,71,49
Action-2034,66,6
Action-2035,112,11
Action-2036,184,26
Action-2037,225,16
Action-2038,286,3
Action-2039,196,16
Action-2040,482,33
Action-2041,361,42
Action-2042,209,47
Action-2043,486,36
Action-2044,247,38
Action-2045,311,41
Action-2046,482,10
Action-2047,166,11
Action-2048,193,35
Action-2049,2,4
Action-2050,213,13
Action-2051,64,4
Action-2052,268,30
Action-2053,217,11
Action-2054,320,43
Action-2055,272,41
Action-2056,347,47
Action-2057,124,47
Action-2058,469,35
Action-2059,162,29
Action-2060,44,34
Action-2061,466,23
Action-2062,295,32
Action-2063,465,20
Action-2064,324,11
Action-2065,341,38
Action-2066,124,42
Action-2067,457,42
Action-2068,425,4
Action-2069,467,19
Action-2070,295,39
Action-2071,23,28
Action-2072,78,13
Action-2073,122,16
Action-2074,332,36
Action-2075,169,44
Action-2076,127,9
Action-2077,472,5
Action-2078,117,38
Action-2079,233,37
Action-2080,487,37
Action-2081,186,18
Action-2082,274,3
Action-2083,384,3
Action-2084,417,24
Action-2085,318,34
Action-2086,49,10
Action-2087,23,8
Action-2088,188,15
Action-2089,490,38
Action-2090,390,29
Action-2091,178,24
Action-2092,276,42
Action-2093,230,37
Action-2094,83,26
Action-2095,232,49
Action-2096,258,37
Action-2097,105,10
Action-2098,270,39
Action-2099,96,32
Action-2100,254,21
Action-2101,456,0
Action-2102,70,36
Action-2103,211,48
Action-2104,310,33
Action-2105,211,4
Action-2106,279,0
Action-2107,193,46
Action-2108,184,20
Action-2109,171,10
Action-2110,313,0
Action-2111,161,42
Action-2112,31,12
Action-2113,368,29
Action-2114,18,31
Action-2115,453,36
Action-2116,408,19
Action-2117,317,47
Action-2118,303,28
Action-2119,376,14
Action-2120,300,19
Action-2121,1,33
Action-2122,11,47
Action-2123,453,49
Action-2124,378,29
Action-2125,227,34
Action-2126,341,24
Action-2127,135,20
Action-2128,71,39
Action-2129,143,8
Action-2130,50,13
Action-2131,6,0
Action-2132,459,42
Action-2133,133,0
Action-2134,384,22
Action-2135,40,23
Action-2136,441,28
Action-2137,378,25
Action-2138,150,44
Action-2139,19,6
Action-2140,416,11
Action-2141,48,8
Action-2142,385,16
Action-2143,99,2
Action-2144,359,37
Action-2145,170,12
Action-2146,164,15
Action-2147,460,3
Action-2148,495,1
Action-2149,198,7
Action-2150,219,39
Action-2151,212,37
Action-2152,422,22
Action-2153,258,31
Action-2154,41,38
Action-2155,371,39
Action-2156,248,26
Action-2157,314,36
Action-2158,102,10
Action-2159,342,3
Action-2160,193,33
Action-2161,92,27
Action-2162,258,30
Action-2163,327,21
Action-2164,3,39
Action-2165,348,4
Action-2166,208,2
Action-2167,299,3
Action-2168,419,9
Action-2169,296,48
Action-2170,384,19
Action-2171,323,31
Action-2172,435,40
Action-2173,118,10
Action-2174,105,45
Action-2175,412,46
Action-2176,194,48
Action-2177,388,9
Action-2178,446,8
Action-2179,51,17
Action-2180,119,21
Action-2181,355,23
Action-2182,224,32
Action-2183,214,39
Action-2184,27,49
Action-2185,322,14
Action-2186,90,30
Action-2187,435,48
Action-2188,373,14
Action-2189,220,23
Action-2190,400,30
Action-2191,477,16
Action-2192,30,2
Action-2193,419,19
Action-2194,412,25
Action-2195,476,32
Action-2196,67,19
Action-2197,496,5
Action-2198,116,47
Action-2199,375,33
Action-2200,352,37
Action-2201,148,16
Action-2202,423,16
Action-2203,313,3
Action-2204,229,11
Action-2205,105,34
Action-2206,201,39
Action-2207,142,20
Action-2208,230,13
Action-2209,294,36
Action-2210,219,1
Action-2211,192,0
Action-2212,163,46
Action-2213,183,0
Action-2214,98,38
Action-2215,441,39
Action-2216,425,15
Action-2217,130,39
Action-2218,318,38
Action-2219,2,6
Action-2220,228,8
Action-2221,269,34
Action-2222,243,42
Action-2223,321,15
Action-2224,229,38
Action-2225,492,35
Action-2226,180,3
Action-2227,196,13
Action-2228,253,28
Action-2229,182,25
Action-2230,132,33
Action-2231,353,1
Action-2232,485,21
Action-2233,316,7
Action-2234,345,23
Action-2235,271,37
Action-2236,106,36
Action-2237,439,38
Action-2238,278,28
Action-2239,336,6
Action-2240,408,13
Action-2241,445,16
Action-2242,395,36
Action-2243,43,21
Action-2244,445,20
Action-2245,426,39
Action-2246,271,10
Action-2247,338,35
Action-2248,443,41
Action-2249,179,5
Action-2250,98,5
Action-2251,104,49
Action-2252,328,34
Action-2253,327,15
Action-2254,236,42
Action-2255,166,8
Action-2256,390,46
Action-2257,87,18
Action-2258,80,28
Action-2259,73,5
Action-2260,256,35
Action-2261,159,37
Action-2262,19,4
Action-2263,490,11
Action-2264,484,9
Action-2265,249,39
Action-2266,190,6
Action-2267,99,6
Action-2268,295,34
Action-2269,183,34
Action-2270,43,42
Action-2271,435,20
Action-2272,395,5
Action-2273,49,45
Action-2274,103,37
Action-2275,279,6
Action-2276,174,16
Action-2277,25,46
Action-2278,55,5
Action-2279,229,32
Action-2280,88,45
Action-2281,386,0
Action-2282,157,6
Action-2283,417,49
Action-2284,315,30
Action-2285,197,17
Action-2286,247,47
Action-2287,249,45
Action-2288,352,42
Action-2289,158,38
Action-2290,187,9
Action-2291,35,22
Action-2292,32,1
Action-2293,91,49
Action-2294,113,30
Action-2295,226,12
Action-2296,421,31
Action-2297,204,0
Action-2298,405,7
Action-2299,317,15
Action-2300,296,15
Action-2301,185,20
Action-2302,341,30
Action-2303,156,9
Action-2304,60,35
Action-2305,180,28
Action-2306,370,4
Action-2307,110,32
Action-2308,397,25
Action-2309,188,41
Action-2310,166,36
Action-2311,364,27
Action-2312,12,13
Action-2313,401,26
Action-2314,118,36
Action-2315,425,0
Action-2316,72,12
Action-2317,20,18
Action-2318,435,39
Action-2319,277,30
Action-2320,262,3
Action-2321,149,14
Action-2322,112,4
Action-2323,280,30
Action-2324,460,22
Action-2325,13,12
Action-2326,433,45
Action-2327,68,9
Action-2328,219,22
Action-2329,387,38
Action-2330,104,29
Action-2331,325,10
Action-2332,112,24
Action-2333,425,42
Action-2334,291,5
Action-2335,41,1
Action-2336,122,16
Action-2337,414,2
Action-2338,339,22
Action-2339,288,27
Action-2340,429,38
Action-2341,482,9
Action-2342,106,9
Action-2343,1,30
Action-2344,94,37
Action-2345,354,19
Action-2346,194,28
Action-2347,460,36
Action-2348,380,1
Action-2349,12,23
Action-2350,21,7
